phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,parallax
19.67516,19.327755,18.054665,100.12281011049339
20.679443,20.340076,18.837591,100.23537188960785
11.539992,13.269839,10.292875,100.28345181005093
14.8669815,18.15911,13.332458,100.2929627748589
18.705324,,,100.3025667159543
11.099288,12.533538,9.908983,100.40536402450441
19.564144,,,100.42193680676196
11.456071,13.086137,10.267067,100.55992417936527
18.254353,19.025505,17.326023,100.5826048410471
11.707547,13.3935995,10.473135,100.61485253632038
9.125617,10.35009,8.059062,100.681067272193
12.957436,15.14696,11.574957,100.68301086475806
10.722715,12.564264,9.456468,100.72340027254124
19.130388,,,100.73763475524817
7.949504,8.848175,7.043171,100.7796606034136
20.240345,,,100.79595514427315
5.53002,5.985188,4.975006,100.81114786351303
11.992534,13.87542,10.703765,100.87409486641577
19.42003,19.320463,17.575813,100.94758781926706
19.33935,19.463118,17.521137,100.99520919091069
10.494205,11.993697,9.332253,100.99923367995058
9.55536,11.243953,8.182434,101.19824974003858
19.429295,,,101.2006115140549
11.043611,12.618479,9.84111,101.2625444904345
18.801203,,,101.29128006832735
9.516697,10.746397,8.434936,101.4334716492733
8.662821,9.812386,7.631885,101.46503365862492
7.4813223,8.323534,6.618249,101.51160676908225
20.998068,20.872652,19.434433,101.51218277026047
20.404356,20.742039,18.828579,101.51672875259578
11.923752,13.906849,10.603219,101.63707211435101
20.191172,20.132874,,101.64063485612458
9.58852,11.258765,8.143469,101.7169920108525
19.394245,,,101.81307843116402
19.729961,,,101.87311933542306
18.651499,18.145853,16.890167,101.96679202411768
20.536741,20.517406,18.881767,101.96728394023833
19.409796,,,102.00151024146344
19.94342,20.099186,18.23668,102.13242691297059
19.222965,,,102.22478261463239
20.605679,21.067513,20.026104,102.23383690930055
19.621725,,,102.3123926009138
20.1764,,,102.31534116203582
12.712725,14.79896,11.369578,102.32238159518654
19.898302,20.277617,18.48111,102.3288299486358
19.945532,21.690042,18.108,102.36514753515908
19.974989,,,102.4048420610465
19.50034,,,102.40897873039393
19.748526,,,102.4614195333898
14.927108,18.021116,13.395665,102.46377646481159
9.571479,10.917252,8.459858,102.5014991407405
20.989021,21.021156,18.852425,102.51686293616214
19.858545,19.166412,17.972273,102.5900571526373
7.840377,8.936042,6.812033,102.82949372268861
13.708708,13.949783,13.299542,102.89793978310917
19.295734,,,102.91484345783864
20.01591,,,103.0927462410596
11.58325,13.319241,10.338779,103.10652264665221
20.134087,20.440514,18.171032,103.12184605802202
20.507172,,,103.14405649521203
20.562815,,,103.15077573031618
20.47451,,,103.29726859691831
9.283218,10.496267,8.218951,103.3499876158996
18.97753,18.544733,17.008844,103.37359580571209
12.189252,14.095423,10.888035,103.3801872719969
19.021093,,,103.46167507676036
20.359165,,,103.52389830854983
20.537518,20.618536,18.777697,103.60042799536004
19.827553,,,103.67317081140514
11.5982485,13.225416,10.378657,103.7153344411858
18.774492,18.161348,17.047596,103.90976789558061
20.889458,20.187717,19.142237,103.96171352227118
20.980633,,,103.96282127008759
20.176376,21.627686,18.240255,103.96643571564849
12.065084,13.959555,10.766701,104.07056133024405
9.629209,11.032921,8.490825,104.15376002018645
20.409449,,,104.18179542564226
20.252605,,,104.22062517125842
12.365259,14.380983,11.0316925,104.31805994746581
