pl_name,star_num,plan_num,pl_rad_e,pl_rad_j,pl_mass_e,pl_mass_j,ra,dec,dist,mag
Kepler-138 b,1,3,0.522,0.047,0.066,0.00021,290.3814122,43.2930645,66.8624,12.4715
Kepler-444 e,3,5,0.5,0.045,0.1,0.00031,289.7528323,41.631884,36.4396,8.643251
Kepler-138 b,1,3,0.701,0.063,0.187,0.00059,290.3814122,43.2930645,66.8624,12.4715
Kepler-444 d,3,5,0.5,0.045,0.2,0.00063,289.7528323,41.631884,36.4396,8.643251
TRAPPIST-1 d,1,7,0.784,0.07,0.297,0.00093,346.6263919,-5.0434618,,15.6451
TRAPPIST-1 h,1,7,0.773,0.069,0.331,0.00104,346.6263919,-5.0434618,,15.6451
Kepler-33 c,1,5,2.6,0.232,0.39,0.00123,289.0775348,46.0051696,1209.16,13.9513
TRAPPIST-1 d,1,7,0.772,0.069,0.41,0.00129,346.6263919,-5.0434618,,15.6451
KOI-55 b,1,2,0.759,0.068,0.44,0.0014,296.3561853,41.0927315,1231.02,14.9062
Kepler-345 b,1,2,0.8,0.071,0.5,0.00157,295.2288521,45.9710432,,14.0341
Kepler-85 e,1,4,1.2,0.107,0.6,0.00189,290.9734395,45.2902761,765.025,14.766
TRAPPIST-1 e,1,7,0.918,0.082,0.62,0.00195,346.6263919,-5.0434618,,15.6451
Kepler-138 b,1,3,0.71,0.063,0.5,0.002,290.3814122,43.2930645,66.8624,12.4715
Kepler-138 d,1,3,1.212,0.108,0.64,0.00201,290.3814122,43.2930645,66.8624,12.4715
KOI-55 c,1,2,0.867,0.077,0.655,0.0021,296.3561853,41.0927315,1231.02,14.9062
TRAPPIST-1 f,1,7,1.045,0.093,0.68,0.00214,346.6263919,-5.0434618,,15.6451
Kepler-128 b,1,2,1.43,0.128,0.77,0.00242,282.4922622,43.9802442,396.379,11.2886
TRAPPIST-1 e,1,7,0.91,0.081,0.772,0.00243,346.6263919,-5.0434618,,15.6451
GJ 9827 c,1,3,1.241,0.111,0.84,0.00264,351.7717763,-1.2853435,29.661,9.83773
TRAPPIST-1 b,1,7,1.086,0.097,0.85,0.00267,346.6263919,-5.0434618,,15.6451
Kepler-128 c,1,2,1.34,0.12,0.9,0.00283,282.4922622,43.9802442,396.379,11.2886
TRAPPIST-1 f,1,7,1.046,0.093,0.934,0.00294,346.6263919,-5.0434618,,15.6451
Kepler-138 d,1,3,1.61,0.144,1.01,0.003,290.3814122,43.2930645,66.8624,12.4715
L 98-59 b,1,3,0.8,0.071,1.01,0.00318,124.5328604,-68.3144658,10.6194,10.5976
TRAPPIST-1 b,1,7,1.121,0.1,1.017,0.0032,346.6263919,-5.0434618,,15.6451
TRAPPIST-1 g,1,7,1.148,0.102,1.148,0.00361,346.6263919,-5.0434618,,15.6451
TRAPPIST-1 c,1,7,1.095,0.098,1.156,0.00364,346.6263919,-5.0434618,,15.6451
Kepler-138 d,1,3,1.68,0.15,1.17,0.00368,290.3814122,43.2930645,66.8624,12.4715
TRAPPIST-1 g,1,7,1.127,0.101,1.34,0.00422,346.6263919,-5.0434618,,15.6451
TRAPPIST-1 c,1,7,1.056,0.094,1.38,0.00434,346.6263919,-5.0434618,,15.6451
Kepler-138 c,1,3,1.75,0.156,1.6,0.005,290.3814122,43.2930645,66.8624,12.4715
Kepler-307 c,1,2,2.8,0.25,1.5,0.005,297.7950939,40.4176403,575.581,14.0561
GJ 1132 b,1,2,1.16,0.103,1.62,0.0051,153.7090696,-47.1549358,12.613,12.138
GJ 1132 b,1,2,1.43,0.128,1.63,0.00513,153.7090696,-47.1549358,12.613,12.138
GJ 1132 b,1,2,1.13,0.101,1.66,0.00522,153.7090696,-47.1549358,12.613,12.138
Kepler-78 b,2,1,1.2,0.107,1.69,0.00532,293.7419543,44.4482521,124.376,11.5287
Kepler-11 f,1,6,2.6,0.232,1.7,0.00535,297.1150949,41.9091092,646.346,13.7062
Kepler-78 b,2,1,1.228,0.11,1.77,0.00557,293.7419543,44.4482521,124.376,11.5287
K2-3 d,1,3,1.65,0.147,1.8,0.00566,172.3353708,-1.4551364,44.0727,11.4785
LHS 1140 c,1,2,1.282,0.114,1.81,0.00569,11.248632,-15.2741085,14.9861,12.6706
GJ 357 b,1,3,1.217,0.109,1.84,0.00579,144.0074644,-21.6650634,9.44181,9.88036
GJ 3473 b,2,2,1.264,0.113,1.86,0.00585,120.5936065,3.3371629,27.3644,12.465
Kepler-78 b,2,1,1.2,0.107,1.87,0.00588,293.7419543,44.4482521,124.376,11.5287
Kepler-11 b,1,6,1.8,0.161,1.9,0.006,297.1150949,41.9091092,646.346,13.7062
Kepler-11 f,1,6,2.49,0.222,2,0.006,297.1150949,41.9091092,646.346,13.7062
Kepler-177 b,1,2,2.9,0.259,2,0.006,286.0471442,45.0532038,1435.44,14.9414
Kepler-307 c,1,2,2.81,0.251,1.9,0.006,297.7950939,40.4176403,575.581,14.0561
Kepler-78 b,2,1,1.173,0.105,1.86,0.006,293.7419543,44.4482521,124.376,11.5287
Kepler-78 b,2,1,1.121,0.1,1.96716,0.00619,293.7419543,44.4482521,124.376,11.5287
Kepler-138 c,1,3,1.197,0.107,1.97,0.0062,290.3814122,43.2930645,66.8624,12.4715
Kepler-60 c,1,3,1.8,0.161,2,0.00629,288.9612535,42.2650472,1025.1,13.9132
Kepler-47 b,2,3,3.05,0.272,2.07,0.00651,295.2978883,46.9204303,1025.02,15.1626
GJ 1252 b,1,1,1.193,0.106,2.09,0.00658,306.9286462,-56.4622865,20.373,11.2364
K2-3 c,1,3,1.644,0.147,2.1,0.00661,172.3353708,-1.4551364,44.0727,11.4785
Kepler-80 e,1,6,1.3,0.116,2.1,0.00661,296.1125759,39.9787451,369.451,14.7555
Kepler-345 c,1,2,1.3,0.116,2.2,0.00692,295.2288521,45.9710432,,14.0341
LTT 1445 A b,3,1,1.38,0.123,2.2,0.00692,45.4624781,-16.5944956,6.86929,10.0469
TOI-1266 c,1,2,1.56,0.139,2.2,0.00692,197.9965833,65.8336973,36.0118,12.1222
Kepler-11 f,1,6,2.61,0.233,2.3,0.007,297.1150949,41.9091092,646.346,13.7062
Kepler-307 b,1,2,3.21,0.286,2.1,0.007,297.7950939,40.4176403,575.581,14.0561
Kepler-51 b,1,3,7.1,0.633,2.1,0.007,296.4797624,49.9376486,783.831,14.6777
Kepler-51 b,1,3,8.6,0.767,2.3,0.00724,296.4797624,49.9376486,783.831,14.6777
L 98-59 d,1,3,1.57,0.14,2.31,0.00727,124.5328604,-68.3144658,10.6194,10.5976
Kepler-65 b,1,4,1.444,0.129,2.4,0.0076,288.6887221,41.1511076,303.728,10.9656
GJ 9827 c,1,3,1.269,0.113,2.42,0.00761,351.7717763,-1.2853435,29.661,9.83773
L 98-59 c,1,3,1.35,0.12,2.42,0.00761,124.5328604,-68.3144658,10.6194,10.5976
K2-229 b,1,2,1.197,0.107,2.49,0.00783,186.8729195,-6.7218474,102.564,10.7861
Kepler-102 d,1,5,1.17,0.104,2.6,0.008,281.4824731,47.2078263,107.796,11.4784
Kepler-11 f,1,6,2.37,0.211,2.5,0.008,297.1150949,41.9091092,646.346,13.7062
Kepler-93 b,1,2,1.5,0.134,2.59,0.008,291.4181275,38.6723124,95.9115,9.86249
K2-229 b,1,2,1.164,0.104,2.59,0.00815,186.8729195,-6.7218474,102.564,10.7861
LTT 3780 b,2,2,1.332,0.119,2.62,0.00824,154.6449033,-11.717801,21.9814,11.8465
Kepler-359 d,1,3,4.6,0.41,2.7,0.0085,293.2936129,42.1963497,1443.21,15.8814
Kepler-105 c,1,2,1.85,0.165,3,0.009,287.8872376,46.2761224,459.223,12.8025
Kepler-11 c,1,6,2.87,0.256,2.9,0.009,297.1150949,41.9091092,646.346,13.7062
Kepler-114 c,1,3,1.6,0.143,2.8,0.009,294.121482,48.3497977,259.533,13.7125
Kepler-406 c,1,2,0.85,0.076,2.71,0.009,291.8481764,44.9682807,364.03,12.4897
Kepler-359 c,1,3,4.8,0.428,2.9,0.00912,293.2936129,42.1963497,1443.21,15.8814
Kepler-100 d,1,3,1.61,0.144,3,0.00944,291.3861294,41.9901394,304.645,11.1293
Kepler-102 c,1,5,0.58,0.052,3,0.00944,281.4824731,47.2078263,107.796,11.4784
K2-3 c,1,3,1.77,0.158,3.1,0.00975,172.3353708,-1.4551364,44.0727,11.4785
Kepler-47 c,2,3,4.65,0.415,3.17,0.00997,295.2978883,46.9204303,1025.02,15.1626
Kepler-10 b,1,2,1.47,0.131,3.33,0.01,285.679298,50.2414842,185.506,10.9191
Kepler-101 c,1,2,1.25,0.112,3.78,0.01,283.255507,48.3552474,927.981,13.5672
Kepler-20 e,2,6,0.868,0.077,3.08,0.01,287.6979913,42.3385782,282.563,12.4535
Kepler-254 c,1,3,2.09,0.186,3.2,0.01,288.1646541,45.8164257,1389.48,15.8379
Kepler-307 b,1,2,3.2,0.285,3.1,0.01,297.7950939,40.4176403,575.581,14.0561
Kepler-37 b,1,4,0.296,0.026,3.1783,0.01,284.0592503,44.5183733,63.9207,9.54988
