index,frequency,average,std-dev,sample-1,sample-2,sample-3
1,1000.000,1.490360e-03,3.342813e-06,+1.49492000E-03,+1.48916000E-03,+1.48700000E-03
2,1063.653,1.471167e-03,1.663797e-05,+1.45623000E-03,+1.46289000E-03,+1.49438000E-03
3,1131.359,1.450833e-03,2.967723e-05,+1.46289000E-03,+1.47962000E-03,+1.40999000E-03
4,1203.373,1.495760e-03,1.418557e-05,+1.47603000E-03,+1.50877000E-03,+1.50248000E-03
5,1279.972,1.448737e-03,8.230642e-05,+1.33262000E-03,+1.51381000E-03,+1.49978000E-03
6,1361.447,1.500913e-03,1.190738e-05,+1.50823000E-03,+1.48412000E-03,+1.51039000E-03
7,1448.107,1.457313e-03,7.600135e-05,+1.50769000E-03,+1.34990000E-03,+1.51435000E-03
8,1540.284,1.497437e-03,5.088897e-05,+1.53378000E-03,+1.42547000E-03,+1.53306000E-03
9,1638.329,1.547340e-03,1.771159e-05,+1.52371000E-03,+1.56635000E-03,+1.55196000E-03
10,1742.614,1.576190e-03,3.201271e-05,+1.59154000E-03,+1.60540000E-03,+1.53163000E-03
11,1853.537,1.668793e-03,8.986903e-06,+1.68025000E-03,+1.66783000E-03,+1.65830000E-03
12,1971.521,1.756177e-03,3.082070e-05,+1.71335000E-03,+1.77057000E-03,+1.78461000E-03
13,2097.015,1.917757e-03,2.307976e-05,+1.93593000E-03,+1.88519000E-03,+1.93215000E-03
14,2230.497,2.160780e-03,1.603004e-05,+2.14339000E-03,+2.15688000E-03,+2.18207000E-03
15,2372.476,2.501503e-03,1.829307e-05,+2.47589000E-03,+2.51746000E-03,+2.51116000E-03
16,2523.492,2.980713e-03,2.937935e-05,+2.94065000E-03,+3.01028000E-03,+2.99121000E-03
17,2684.121,3.648113e-03,7.973834e-06,+3.65585000E-03,+3.65135000E-03,+3.63714000E-03
18,2854.974,4.531650e-03,9.785704e-07,+4.53063000E-03,+4.53297000E-03,+4.53135000E-03
19,3036.703,5.682180e-03,1.512639e-05,+5.66126000E-03,+5.69651000E-03,+5.68877000E-03
20,3229.999,7.222793e-03,4.635129e-06,+7.21734000E-03,+7.22237000E-03,+7.22867000E-03
21,3435.599,9.199577e-03,4.774183e-06,+9.20533000E-03,+9.19364000E-03,+9.19976000E-03
22,3654.287,1.176157e-02,5.299057e-07,+1.17613900E-02,+1.17622900E-02,+1.17610300E-02
23,3886.895,1.506124e-02,2.936600e-06,+1.50613600E-02,+1.50647700E-02,+1.50575800E-02
24,4134.309,1.930352e-02,1.175755e-06,+1.93035200E-02,+1.93049600E-02,+1.93020800E-02
25,4397.472,2.474652e-02,1.306292e-06,+2.47447200E-02,+2.47477800E-02,+2.47470600E-02
26,4677.385,3.172865e-02,6.788225e-07,+3.17281700E-02,+3.17296100E-02,+3.17281700E-02
27,4975.117,4.067948e-02,1.496537e-06,+4.06781600E-02,+4.06815700E-02,+4.06787000E-02
28,5291.800,5.212364e-02,6.118821e-07,+5.21228000E-02,+5.21238800E-02,+5.21242400E-02
29,5628.641,6.674152e-02,1.567043e-06,+6.67432000E-02,+6.67394300E-02,+6.67419400E-02
30,5986.923,8.535753e-02,2.016934e-06,+8.53602300E-02,+8.53569900E-02,+8.53553800E-02
31,6368.011,1.089859e-01,6.734976e-07,+1.08984970E-01,+1.08986050E-01,+1.08986590E-01
32,6773.356,1.391668e-01,3.882668e-04,+1.39699300E-01,+1.39016400E-01,+1.38784600E-01
33,7204.503,1.758394e-01,6.734983e-06,+1.75846600E-01,+1.75830400E-01,+1.75841200E-01
34,7663.094,2.214433e-01,7.776889e-06,+2.21450500E-01,+2.21432500E-01,+2.21446900E-01
35,8150.876,2.760581e-01,1.694934e-05,+2.76034700E-01,+2.76065300E-01,+2.76074300E-01
36,8669.707,3.390678e-01,1.187939e-05,+3.39076200E-01,+3.39076200E-01,+3.39051000E-01
37,9221.563,4.078190e-01,2.080486e-05,+4.07838700E-01,+4.07828000E-01,+4.07790200E-01
38,9808.547,4.778187e-01,1.908304e-05,+4.77841500E-01,+4.77819900E-01,+4.77794800E-01
39,10432.894,5.431646e-01,6.406247e-06,+5.43159200E-01,+5.43173600E-01,+5.43161000E-01
40,11096.983,5.985937e-01,1.634143e-05,+5.98608700E-01,+5.98571000E-01,+5.98601500E-01
41,11803.344,6.415657e-01,2.206813e-05,+6.41591500E-01,+6.41568100E-01,+6.41537600E-01
42,12554.667,6.721467e-01,2.884029e-05,+6.72168900E-01,+6.72165300E-01,+6.72106000E-01
43,13353.814,6.924802e-01,1.856347e-05,+6.92471800E-01,+6.92462800E-01,+6.92505900E-01
44,14203.829,7.053406e-01,2.706810e-05,+7.05304100E-01,+7.05368800E-01,+7.05349000E-01
45,15107.951,7.130754e-01,2.711101e-05,+7.13076000E-01,+7.13108300E-01,+7.13041900E-01
46,16069.623,7.179860e-01,4.445481e-06,+7.17990800E-01,+7.17987200E-01,+7.17980100E-01
47,17092.509,7.202228e-01,1.669252e-05,+7.20208400E-01,+7.20246200E-01,+7.20213800E-01
48,18180.505,7.210393e-01,3.394081e-06,+7.21034500E-01,+7.21041700E-01,+7.21041700E-01
49,19337.756,7.208759e-01,2.384874e-05,+7.20908800E-01,+7.20853100E-01,+7.20865700E-01
50,20568.669,7.201109e-01,3.233151e-05,+7.20077400E-01,+7.20100700E-01,+7.20154600E-01
51,21877.935,7.188994e-01,5.299055e-06,+7.18901200E-01,+7.18892200E-01,+7.18904800E-01
52,23270.539,7.170797e-01,2.939664e-05,+7.17092900E-01,+7.17039000E-01,+7.17107300E-01
53,24751.788,7.149255e-01,9.637429e-06,+7.14914700E-01,+7.14938100E-01,+7.14923700E-01
54,26327.323,7.119296e-01,1.525130e-05,+7.11944600E-01,+7.11935600E-01,+7.11908700E-01
55,28003.146,7.079198e-01,3.408587e-05,+7.07904200E-01,+7.07967100E-01,+7.07888100E-01
56,29785.641,7.023440e-01,2.283599e-05,+7.02341000E-01,+7.02373300E-01,+7.02317600E-01
57,31681.598,6.947151e-01,3.698664e-06,+6.94710900E-01,+6.94714500E-01,+6.94719900E-01
58,33698.239,6.829367e-01,3.111345e-05,+6.82963000E-01,+6.82954100E-01,+6.82893000E-01
59,35843.246,6.656870e-01,4.822579e-05,+6.65750500E-01,+6.65676800E-01,+6.65633700E-01
60,38124.790,6.408741e-01,1.952440e-05,+6.40862100E-01,+6.40901600E-01,+6.40858500E-01
61,40551.562,6.064901e-01,2.785546e-05,+6.06524800E-01,+6.06456600E-01,+6.06488900E-01
62,43132.806,5.611749e-01,9.132479e-06,+5.61183900E-01,+5.61178500E-01,+5.61162400E-01
63,45878.355,5.058021e-01,3.356430e-05,+5.05848800E-01,+5.05785900E-01,+5.05771500E-01
64,48798.668,4.426673e-01,2.795866e-05,+4.42703200E-01,+4.42635000E-01,+4.42663700E-01
65,51904.868,3.769452e-01,7.249828e-06,+3.76951200E-01,+3.76949400E-01,+3.76935000E-01
66,55208.788,3.134036e-01,1.032279e-05,+3.13390400E-01,+3.13415600E-01,+3.13404800E-01
67,58723.015,2.557830e-01,1.000400e-05,+2.55769200E-01,+2.55787200E-01,+2.55792600E-01
68,62460.933,2.060835e-01,2.939386e-06,+2.06079900E-01,+2.06087100E-01,+2.06083500E-01
69,66436.783,1.644223e-01,7.359499e-06,+1.64421100E-01,+1.64414000E-01,+1.64431900E-01
70,70665.709,1.303686e-01,2.545585e-06,+1.30365000E-01,+1.30370400E-01,+1.30370400E-01
71,75163.821,1.032920e-01,6.679348e-06,+1.03299020E-01,+1.03293980E-01,+1.03283020E-01
72,79948.252,8.142591e-02,3.451959e-06,+8.14300500E-02,+8.14260900E-02,+8.14216000E-02
