index,frequency,average,std-dev,sample-1,sample-2,sample-3
1,1000.000,7.246508e-01,9.600113e-06,+7.24640100E-01,+7.24649000E-01,+7.24663400E-01
2,1063.653,7.254744e-01,1.801339e-05,+7.25499500E-01,+7.25458200E-01,+7.25465400E-01
3,1131.359,7.262899e-01,2.828085e-05,+7.26262400E-01,+7.26278500E-01,+7.26328800E-01
4,1203.373,7.271000e-01,9.958024e-06,+7.27095800E-01,+7.27113700E-01,+7.27090400E-01
5,1279.972,7.279236e-01,2.439349e-05,+7.27891800E-01,+7.27951100E-01,+7.27927800E-01
6,1361.447,7.286680e-01,5.939697e-06,+7.28675800E-01,+7.28666800E-01,+7.28661400E-01
7,1448.107,7.293959e-01,1.736325e-05,+7.29384500E-01,+7.29382700E-01,+7.29420400E-01
8,1540.284,7.299965e-01,1.801339e-05,+7.30005500E-01,+7.29971400E-01,+7.30012700E-01
9,1638.329,7.305722e-01,4.242646e-06,+7.30569200E-01,+7.30569200E-01,+7.30578200E-01
10,1742.614,7.311189e-01,3.158421e-05,+7.31158500E-01,+7.31117100E-01,+7.31081200E-01
11,1853.537,7.316143e-01,9.522728e-06,+7.31614900E-01,+7.31625600E-01,+7.31602300E-01
12,1971.521,7.320451e-01,1.112834e-05,+7.32039100E-01,+7.32035500E-01,+7.32060700E-01
13,2097.015,7.323637e-01,5.939706e-06,+7.32370300E-01,+7.32364900E-01,+7.32355900E-01
14,2230.497,7.327296e-01,1.698711e-05,+7.32753500E-01,+7.32715800E-01,+7.32719400E-01
15,2372.476,7.330190e-01,1.317270e-05,+7.33027400E-01,+7.33029200E-01,+7.33000400E-01
16,2523.492,7.332971e-01,2.096383e-05,+7.33319300E-01,+7.33303100E-01,+7.33269000E-01
17,2684.121,7.334586e-01,6.699410e-06,+7.33467600E-01,+7.33451500E-01,+7.33456800E-01
18,2854.974,7.336250e-01,1.972719e-05,+7.33632200E-01,+7.33644800E-01,+7.33598100E-01
19,3036.703,7.337179e-01,1.837286e-05,+7.33696300E-01,+7.33741200E-01,+7.33716100E-01
20,3229.999,7.338402e-01,1.736325e-05,+7.33864700E-01,+7.33827000E-01,+7.33828800E-01
21,3435.599,7.338936e-01,4.454475e-06,+7.33898300E-01,+7.33894800E-01,+7.33887600E-01
22,3654.287,7.339865e-01,1.112834e-05,+7.33980500E-01,+7.33976900E-01,+7.34002100E-01
23,3886.895,7.340647e-01,1.055284e-05,+7.34079000E-01,+7.34053900E-01,+7.34061100E-01
24,4134.309,7.340146e-01,8.094438e-06,+7.34014000E-01,+7.34005000E-01,+7.34024800E-01
25,4397.472,7.339844e-01,7.541879e-06,+7.33986800E-01,+7.33974200E-01,+7.33992200E-01
26,4677.385,7.339052e-01,1.686541e-05,+7.33905800E-01,+7.33925600E-01,+7.33884300E-01
27,4975.117,7.338207e-01,8.054963e-06,+7.33821300E-01,+7.33810500E-01,+7.33830200E-01
28,5291.800,7.337330e-01,3.888461e-06,+7.33738400E-01,+7.33729400E-01,+7.33731200E-01
29,5628.641,7.336294e-01,2.244987e-06,+7.33628800E-01,+7.33627000E-01,+7.33632400E-01
30,5986.923,7.334394e-01,1.621241e-05,+7.33458000E-01,+7.33441800E-01,+7.33418500E-01
31,6368.011,7.332358e-01,3.852283e-05,+7.33289100E-01,+7.33219100E-01,+7.33199300E-01
32,6773.356,7.330460e-01,9.646150e-05,+7.33181400E-01,+7.32963900E-01,+7.32992700E-01
33,7204.503,7.328148e-01,1.028786e-05,+7.32827400E-01,+7.32802200E-01,+7.32814800E-01
34,7663.094,7.325962e-01,2.722944e-05,+7.32628000E-01,+7.32599200E-01,+7.32561500E-01
